"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that getting a team by an invalid ID returns an appropriate response","1897","Verify that getting a team by invalid ID returns not found","Surefire suite","Wed Apr 09 21:38:36 GMT 2025","passed","Wed Apr 09 21:38:38 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByInvalidId"
"This test verifies that getting a player by ID returns the correct player data","251","Verify that getting a player by valid ID returns the correct player data","Surefire suite","Wed Apr 09 21:38:41 GMT 2025","passed","Wed Apr 09 21:38:41 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByIdReturnsCorrectData"
"This test verifies that the GET /matches endpoint returns a 200 OK status code","187","Verify that the GET /matches endpoint returns 200 OK","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.matches.GetMatchesTest","Surefire test","com.dota2.api.matches.GetMatchesTest","testGetRecentMatchesReturns200"
"This test verifies that finding a hero by a valid ID works correctly","276","Verify that finding a hero by valid ID works","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByValidIdReturns200"
"This test verifies that getting a match by ID returns the correct match data","369","Verify that getting a match by valid ID returns the correct match data","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.matches.GetMatchByIdTest","Surefire test","com.dota2.api.matches.GetMatchByIdTest","testGetMatchByIdReturnsCorrectData"
"This test verifies that finding a hero by a valid ID works correctly","282","Verify that finding a hero by valid ID works","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByValidIdReturns200"
"This test verifies that getting players for a team returns valid data","1241","Verify that getting team players works","Surefire suite","Wed Apr 09 21:38:38 GMT 2025","passed","Wed Apr 09 21:38:39 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamPlayers"
"This test verifies that each team in the response contains required fields","1150","Verify that the teams data contains required fields","Surefire suite","Wed Apr 09 21:38:39 GMT 2025","passed","Wed Apr 09 21:38:40 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsContainRequiredFields"
"This test verifies that getting a player by a valid ID returns a 200 OK status code","287","Verify that getting a player by valid ID returns 200 OK","Surefire suite","Wed Apr 09 21:38:41 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByValidIdReturns200"
"This test verifies that getting a team by a valid ID returns a 200 OK status code","3154","Verify that getting a team by valid ID returns 200 OK","Surefire suite","Wed Apr 09 21:38:36 GMT 2025","passed","Wed Apr 09 21:38:39 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamByValidIdReturns200"
"This test verifies that the hero data for a specific ID matches the expected schema","303","Verify that hero schema is valid for a specific hero","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testHeroByIdSchemaIsValid"
"Este teste simula múltiplos usuários acessando o endpoint Heroes e avalia o desempenho","7","Executa o teste de performance para o endpoint Heroes usando K6","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.performance.K6PerformanceTest","Surefire test","com.dota2.performance.K6PerformanceTest","testHeroesPerformance"
"This test verifies that finding a hero by ID returns the correct hero data","347","Verify that finding a hero by valid ID returns the correct hero data","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByIdReturnsCorrectData"
"This test verifies that the heroes response matches the expected JSON schema","378","Verify that the heroes schema is valid","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testHeroesSchemaIsValid"
"This test verifies that finding a hero by an invalid ID returns no results","244","Verify that finding a hero by invalid ID returns no results","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByInvalidIdReturnsNoResults"
"This test verifies that the GET /teams endpoint returns a 200 OK status code","874","Verify that the GET /teams endpoint returns 200 OK","Surefire suite","Wed Apr 09 21:38:39 GMT 2025","passed","Wed Apr 09 21:38:40 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testGetAllTeamsReturns200"
"This test verifies the behavior when requesting an invalid player ID","227","Verify that getting a player by invalid ID returns appropriate response","Surefire suite","Wed Apr 09 21:38:41 GMT 2025","passed","Wed Apr 09 21:38:41 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByInvalidId"
"This test verifies that each hero in the response contains required fields","497","Verify that the heroes data contains required fields","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testHeroesContainRequiredFields"
"This test verifies that teams can be sorted client-side","1221","Verify that teams can be sorted client-side","Surefire suite","Wed Apr 09 21:38:40 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsSorting"
"This test verifies that the teams response matches the expected JSON schema","859","Verify that the team schema is valid","Surefire suite","Wed Apr 09 21:38:40 GMT 2025","passed","Wed Apr 09 21:38:41 GMT 2025","com.dota2.api.teams.GetTeamsTest","Surefire test","com.dota2.api.teams.GetTeamsTest","testTeamsSchemaIsValid"
"This test verifies that getting a player by a valid ID returns a 200 OK status code","217","Verify that getting a player by valid ID returns 200 OK","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerByValidIdReturns200"
"This test verifies that getting matches for a team returns valid data","5531","Verify that getting team matches works","Surefire suite","Wed Apr 09 21:38:36 GMT 2025","passed","Wed Apr 09 21:38:41 GMT 2025","com.dota2.api.teams.GetTeamByIdTest","Surefire test","com.dota2.api.teams.GetTeamByIdTest","testGetTeamMatches"
"This test verifies that finding a hero by a valid ID works correctly","297","Verify that finding a hero by valid ID works","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.api.heroes.GetHeroByIdTest","Surefire test","com.dota2.api.heroes.GetHeroByIdTest","testGetHeroByValidIdReturns200"
"This test verifies that getting recent matches for a player returns valid data","270","Verify that getting recent matches for a player works","Surefire suite","Wed Apr 09 21:38:41 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerRecentMatches"
"This test verifies that getting win/loss statistics for a player returns valid data","552","Verify that getting win/loss data for a player works","Surefire suite","Wed Apr 09 21:38:41 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testGetPlayerWinLoss"
"This test verifies client-side pagination with limit and offset parameters","298","Verify that we can process heroes with pagination","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.heroes.GetHeroesTest","Surefire test","com.dota2.api.heroes.GetHeroesTest","testHeroesPagination"
"Este teste simula múltiplos usuários acessando o endpoint Matches e avalia o desempenho","4","Executa o teste de performance para o endpoint Matches usando K6","Surefire suite","Wed Apr 09 21:38:43 GMT 2025","passed","Wed Apr 09 21:38:43 GMT 2025","com.dota2.performance.K6PerformanceTest","Surefire test","com.dota2.performance.K6PerformanceTest","testMatchesPerformance"
"This test verifies that the player data matches the expected schema","261","Verify that player schema is valid","Surefire suite","Wed Apr 09 21:38:42 GMT 2025","passed","Wed Apr 09 21:38:42 GMT 2025","com.dota2.api.players.GetPlayerByIdTest","Surefire test","com.dota2.api.players.GetPlayerByIdTest","testPlayerSchemaIsValid"
